"id","name","province_name","aliases_csv"
R80302887,Shaheed Benazirabad,Sindh,""
R80302982,Dhadar,Balochistan,""
RPK61,Hunza,Gilgit-Baltistan,""
R80302974,Jafarabad,Balochistan,""
R80302990,Khaplu,Gilgit-Baltistan,""
R80307352,Kohlu,Balochistan,""
R80302826,Tando Soomro,Sindh,""
R80302972,Muslim Bagh,Balochistan,""
R80302969,Pasni,Balochistan,""
RPK43,Dera Bugti,Balochistan,""
R80302898,Ranipur,Sindh,""
R80302832,Sarhari,Sindh,""
R80302809,Shikarpur,Sindh,""
R80302964,Sorab,Balochistan,""
R80302902,Sultan Kot,Sindh,""
R80302830,Tando Gulam Ali,Sindh,""
R80307354,Umarkot,Sindh,""
R80302816,Ubaouro,Sindh,""
R80302967,Kanozai,Balochistan,""
R80302940,Hattian Bala,Azad Kashmir,""
R80302984,Bajaur Agency,Federally Administered Tribal Areas,""
R80302977,Miri Kalat Kech,Balochistan,""
RPK53,Qila Abdullah,Balochistan,""
RPK1642,Taftan,Balochistan,""
R80302953,Zia Abad,Balochistan,""
RPK54,Athmuqam,Azad Kashmir,""
R80302947,Jandala,Azad Kashmir,""
R80302939,Jing,Azad Kashmir,""
R80302986,Thana Malakand Agency,Federally Administered Tribal Areas,""
R80302988,Gamba Skardu,Gilgit-Baltistan,""
RPK9951,Islamabad – Airport New Societies,Islamabad,""
R80302355,Chitral,Khyber Pakhtunkhwa,""
R80302874,Chohar Jamali,Sindh,""
R80302446,Chowk Munda,Punjab,""
R80302632,Daira Din Panah,Punjab,""
R80302629,Dajal,Punjab,""
R80302963,Dalbandin,Balochistan,""
R80302561,Daiwal,Punjab,""
R80302687,Dandot,Punjab,""
R80302983,Darra Adam Khel,Federally Administered Tribal Areas,""
R80302338,Dargai,Khyber Pakhtunkhwa,""
R80302917,Darya Khan Mari,Sindh,""
R80302419,Daska,Punjab,""
R80302602,Daud Khel,Punjab,""
R80302920,Daulatpur,Sindh,""
R80316270,Depalpur,Punjab,""
R80302970,Dera Allahyar,Balochistan,""
R80302693,Dera Bakha,Punjab,""
R80302956,Dera Murad Jamali,Balochistan,""
R80302854,Dhabeji,Sindh,""
R80302500,Dhannot,Punjab,""
MRG-CITY-3174e5a1-680,Gojra,Punjab,""
R80302881,Nawabshah,Sindh,""
R80302488,Chishtian,Punjab,""
MRG-CITY-4583b782-a52,Faisalabad Chak,Punjab,""
R80302755,Ghakkar,Punjab,""
R80302921,Gharo,Sindh,""
R80302980,Harnai,Balochistan,""
RPK5,Ghotki,Sindh,""
R80302989,Gilgit,Gilgit-Baltistan,""
R80302901,Golarchi,Sindh,""
R80302425,Gondal,Punjab,""
R80302301,Gujjar Garhi,Khyber Pakhtunkhwa,""
R80302748,Gujar Khan,Punjab,""
MRG-CITY-a6eea7ed-2b5,Gujranwala,Punjab,""
MRG-CITY-4cf9f491-d31,Gujrat,Punjab,""
R80302522,Hafizabad,Punjab,""
R80302942,Hajira,Azad Kashmir,""
R80302812,Hala,Sindh,""
R80302818,Halani,Sindh,""
R80302320,Hangu,Khyber Pakhtunkhwa,""
R80302287,Haripur,Khyber Pakhtunkhwa,""
R80302654,Haroonabad,Punjab,""
R80302450,Hasilpur,Punjab,""
R80302782,Hassan Abdal,Punjab,""
R80302965,Gwadar,Balochistan,""
R80302688,Jand,Punjab,""
R80302513,Hazro,Punjab,""
R80302960,Hub,Balochistan,""
R80302724,Hujra Shah Muqeem,Punjab,""
MRG-CITY-09410d4a-ab7,Islamabad,Islamabad,""
R80302891,Jhuddo,Sindh,""
R80302910,Johi,Sindh,""
R80302762,Jampur,Punjab,""
R80302895,Jamshoro,Sindh,""
R80302784,Jhawarian,Punjab,""
R80302362,Jehangira,Khyber Pakhtunkhwa,""
RPK55,Jahanian,Punjab,""
R80302747,Jhelum,Punjab,""
R80302519,Jamal Din Wali,Punjab,""
R80302455,Kahuta,Punjab,""
R80302635,Kalabagh,Punjab,""
R80302954,Kallat,Balochistan,""
R80302472,Kaloor Kot,Punjab,""
RPK7,Talagang,Punjab,""
RPK5794,Havelian,Khyber Pakhtunkhwa,""
